close_time,resistance,support
1659345899999.0,23521.46,23521.46
1659346199999.0,23521.46,23521.46
1659346499999.0,23521.46,23521.46
1659346799999.0,23521.46,23521.46
1659347099999.0,23521.46,23521.46
1659347399999.0,23521.46,23521.46
1659347699999.0,23521.46,23521.46
1659347999999.0,23521.46,23521.46
1659348299999.0,23521.46,23521.46
1659348599999.0,23521.46,23521.46
1659348899999.0,23521.46,23521.46
1659349199999.0,23521.46,23521.46
1659349499999.0,23521.46,23521.46
1659349799999.0,23521.46,23521.46
1659350099999.0,23521.46,23521.46
1659350399999.0,23521.46,23521.46
1659350699999.0,23521.46,23521.46
1659350999999.0,23521.46,23521.46
1659351299999.0,23521.46,23521.46
1659351599999.0,23521.46,23521.46
1659351899999.0,23521.46,23521.46
1659352199999.0,23037.35,23037.35
1659352499999.0,23037.35,23037.35
1659352799999.0,23037.35,23037.35
1659353099999.0,23037.35,23037.35
1659353399999.0,23125.27,23125.27
1659353699999.0,23125.27,23125.27
1659353999999.0,23127.94,23127.94
1659354299999.0,23127.94,23127.94
1659354599999.0,23127.94,23127.94
1659354899999.0,23127.94,23127.94
1659355199999.0,23127.94,23127.94
1659355499999.0,23246.7,23246.7
1659355799999.0,23246.7,23246.7
1659356099999.0,23246.7,23246.7
1659356399999.0,23246.7,23246.7
1659356699999.0,23246.7,23246.7
1659356999999.0,23246.7,23246.7
1659357299999.0,23246.7,23246.7
1659357599999.0,23246.7,23246.7
1659357899999.0,23250.75,23250.75
1659358199999.0,23250.75,23250.75
1659358499999.0,23250.75,23250.75
1659358799999.0,23250.75,23250.75
1659359099999.0,23250.75,23250.75
1659359399999.0,23250.75,23250.75
1659359699999.0,23250.75,23250.75
1659359999999.0,23250.75,23250.75
1659360299999.0,23250.75,23250.75
1659360599999.0,23250.75,23250.75
1659360899999.0,23250.75,23250.75
1659361199999.0,23250.75,23250.75
1659361499999.0,23250.75,23250.75
1659361799999.0,23250.75,23250.75
1659362099999.0,23250.75,23250.75
1659362399999.0,23250.75,23250.75
1659362699999.0,23250.75,23250.75
1659362999999.0,23250.75,23250.75
1659363299999.0,23250.75,23250.75
1659363599999.0,23433.31,23433.31
1659363899999.0,23433.31,23433.31
1659364199999.0,23433.31,23433.31
1659364499999.0,23433.31,23433.31
1659364799999.0,23433.31,23433.31
1659365099999.0,23433.31,23433.31
1659365399999.0,23433.31,23433.31
1659365699999.0,23433.31,23433.31
1659365999999.0,23433.31,23433.31
1659366299999.0,23465.73,23465.73
1659366599999.0,23465.73,23465.73
1659366899999.0,23465.73,23465.73
1659367199999.0,23465.73,23465.73
1659367499999.0,23465.73,23465.73
1659367799999.0,23465.73,23465.73
1659368099999.0,23465.73,23465.73
1659368399999.0,23465.73,23465.73
1659368699999.0,23465.73,23465.73
1659368999999.0,23465.73,23465.73
1659369299999.0,23465.73,23465.73
1659369599999.0,23465.73,23465.73
1659369899999.0,23465.73,23465.73
1659370199999.0,23465.73,23465.73
1659370499999.0,23465.73,23465.73
1659370799999.0,23465.73,23465.73
1659371099999.0,23465.73,23465.73
1659371399999.0,23465.73,23465.73
1659371699999.0,23465.73,23465.73
1659371999999.0,23465.73,23465.73
1659372299999.0,23465.73,23465.73
1659372599999.0,23465.73,23465.73
1659372899999.0,23465.73,23465.73
1659373199999.0,23465.73,23465.73
1659373499999.0,23465.73,23465.73
1659373799999.0,23465.73,23465.73
1659374099999.0,23465.73,23465.73
1659374399999.0,23465.73,23465.73
1659374699999.0,23465.73,23465.73
1659374999999.0,23465.73,23465.73
1659375299999.0,23465.73,23465.73
1659375599999.0,23465.73,23465.73
1659375899999.0,23465.73,23465.73
1659376199999.0,22980.28,22980.28
1659376499999.0,22980.28,22980.28
1659376799999.0,22980.28,22980.28
1659377099999.0,22980.28,22980.28
1659377399999.0,22980.28,22980.28
1659377699999.0,22980.28,22980.28
1659377999999.0,22980.28,22980.28
1659378299999.0,22992.76,22992.76
1659378599999.0,22992.76,22992.76
1659378899999.0,22992.76,22992.76
1659379199999.0,22992.76,22992.76
1659379499999.0,22992.76,22992.76
1659379799999.0,22992.76,22992.76
1659380099999.0,22992.76,22992.76
1659380399999.0,22992.76,22992.76
1659380699999.0,22992.76,22992.76
1659380999999.0,22992.76,22992.76
1659381299999.0,22992.76,22992.76
1659381599999.0,22992.76,22992.76
1659381899999.0,22992.76,22992.76
1659382199999.0,22992.76,22992.76
1659382499999.0,22992.76,22992.76
1659382799999.0,22992.76,22992.76
1659383099999.0,22992.76,22992.76
1659383399999.0,22992.76,22992.76
1659383699999.0,22992.76,22992.76
1659383999999.0,22992.76,22992.76
